/---------------------------------------------------\
| C.Lines |  Words  |  Assoc. | Miss ctr |  Hit ctr |
|---------|---------|---------|----------|----------|
|       4 |       1 |       2 |     7000 |    39250 |
|       4 |       2 |       2 |    13114 |    33136 |
|       4 |       4 |       2 |    17679 |    28571 |
|       4 |       8 |       2 |    21218 |    25032 |
|       8 |       1 |       2 |     9459 |    36791 |
|       8 |       2 |       2 |    17356 |    28894 |
|       8 |       4 |       2 |    22126 |    24124 |
|       8 |       8 |       2 |    27807 |    18443 |
|      16 |       1 |       2 |    12774 |    33476 |
|      16 |       2 |       2 |    20474 |    25776 |
|      16 |       4 |       2 |    27516 |    18734 |
|      16 |       8 |       2 |    32310 |    13940 |
|      32 |       1 |       2 |    16081 |    30169 |
|      32 |       2 |       2 |    25232 |    21018 |
|      32 |       4 |       2 |    32013 |    14237 |
|      32 |       8 |       2 |    35771 |    10479 |
|      64 |       1 |       2 |    20257 |    25993 |
|      64 |       2 |       2 |    29743 |    16507 |
|      64 |       4 |       2 |    34802 |    11448 |
|      64 |       8 |       2 |    37999 |     8251 |
|     128 |       1 |       2 |    24965 |    21285 |
|     128 |       2 |       2 |    33220 |    13030 |
|     128 |       4 |       2 |    37457 |     8793 |
|     128 |       8 |       2 |    39725 |     6525 |
|     256 |       1 |       2 |    29945 |    16305 |
|     256 |       2 |       2 |    36582 |     9668 |
|     256 |       4 |       2 |    39085 |     7165 |
|     256 |       8 |       2 |    40648 |     5602 |
|     512 |       1 |       2 |    33443 |    12807 |
|     512 |       2 |       2 |    38119 |     8131 |
|     512 |       4 |       2 |    39887 |     6363 |
|     512 |       8 |       2 |    41840 |     4410 |
|    1024 |       1 |       2 |    34983 |    11267 |
|    1024 |       2 |       2 |    38828 |     7422 |
|    1024 |       4 |       2 |    41278 |     4972 |
|    1024 |       8 |       2 |    44195 |     2055 |
|       8 |       1 |       4 |     7000 |    39250 |
|       8 |       2 |       4 |    13114 |    33136 |
|       8 |       4 |       4 |    17679 |    28571 |
|       8 |       8 |       4 |    21218 |    25032 |
|      16 |       1 |       4 |     9459 |    36791 |
|      16 |       2 |       4 |    17356 |    28894 |
|      16 |       4 |       4 |    22126 |    24124 |
|      16 |       8 |       4 |    27807 |    18443 |
|      32 |       1 |       4 |    12774 |    33476 |
|      32 |       2 |       4 |    20474 |    25776 |
|      32 |       4 |       4 |    27516 |    18734 |
|      32 |       8 |       4 |    32310 |    13940 |
|      64 |       1 |       4 |    16081 |    30169 |
|      64 |       2 |       4 |    25232 |    21018 |
|      64 |       4 |       4 |    32013 |    14237 |
|      64 |       8 |       4 |    35771 |    10479 |
|     128 |       1 |       4 |    20257 |    25993 |
|     128 |       2 |       4 |    29743 |    16507 |
|     128 |       4 |       4 |    34802 |    11448 |
|     128 |       8 |       4 |    37999 |     8251 |
|     256 |       1 |       4 |    24965 |    21285 |
|     256 |       2 |       4 |    33220 |    13030 |
|     256 |       4 |       4 |    37457 |     8793 |
|     256 |       8 |       4 |    39725 |     6525 |
|     512 |       1 |       4 |    29945 |    16305 |
|     512 |       2 |       4 |    36582 |     9668 |
|     512 |       4 |       4 |    39085 |     7165 |
|     512 |       8 |       4 |    40648 |     5602 |
|    1024 |       1 |       4 |    33443 |    12807 |
|    1024 |       2 |       4 |    38119 |     8131 |
|    1024 |       4 |       4 |    39887 |     6363 |
|    1024 |       8 |       4 |    41840 |     4410 |
|    2048 |       1 |       4 |    34983 |    11267 |
|    2048 |       2 |       4 |    38828 |     7422 |
|    2048 |       4 |       4 |    41278 |     4972 |
|    2048 |       8 |       4 |    44195 |     2055 |
|      16 |       1 |       8 |     7000 |    39250 |
|      16 |       2 |       8 |    13114 |    33136 |
|      16 |       4 |       8 |    17679 |    28571 |
|      16 |       8 |       8 |    21218 |    25032 |
|      32 |       1 |       8 |     9459 |    36791 |
|      32 |       2 |       8 |    17356 |    28894 |
|      32 |       4 |       8 |    22126 |    24124 |
|      32 |       8 |       8 |    27807 |    18443 |
|      64 |       1 |       8 |    12774 |    33476 |
|      64 |       2 |       8 |    20474 |    25776 |
|      64 |       4 |       8 |    27516 |    18734 |
|      64 |       8 |       8 |    32310 |    13940 |
|     128 |       1 |       8 |    16081 |    30169 |
|     128 |       2 |       8 |    25232 |    21018 |
|     128 |       4 |       8 |    32013 |    14237 |
|     128 |       8 |       8 |    35771 |    10479 |
|     256 |       1 |       8 |    20257 |    25993 |
|     256 |       2 |       8 |    29743 |    16507 |
|     256 |       4 |       8 |    34802 |    11448 |
|     256 |       8 |       8 |    37999 |     8251 |
|     512 |       1 |       8 |    24965 |    21285 |
|     512 |       2 |       8 |    33220 |    13030 |
|     512 |       4 |       8 |    37457 |     8793 |
|     512 |       8 |       8 |    39725 |     6525 |
|    1024 |       1 |       8 |    29945 |    16305 |
|    1024 |       2 |       8 |    36582 |     9668 |
|    1024 |       4 |       8 |    39085 |     7165 |
|    1024 |       8 |       8 |    40648 |     5602 |
|    2048 |       1 |       8 |    33443 |    12807 |
|    2048 |       2 |       8 |    38119 |     8131 |
|    2048 |       4 |       8 |    39887 |     6363 |
|    2048 |       8 |       8 |    41840 |     4410 |
|    4096 |       1 |       8 |    34983 |    11267 |
|    4096 |       2 |       8 |    38828 |     7422 |
|    4096 |       4 |       8 |    41278 |     4972 |
|    4096 |       8 |       8 |    44195 |     2055 |
\---------------------------------------------------/
