/---------------------------------------------------\
| C.Lines |  Words  |  Assoc. | Miss ctr |  Hit ctr |
|---------|---------|---------|----------|----------|
|       4 |       1 |       2 |     6974 |    39084 |
|       4 |       2 |       2 |    13070 |    32988 |
|       4 |       4 |       2 |    18203 |    27855 |
|       4 |       8 |       2 |    22587 |    23471 |
|       8 |       1 |       2 |     9421 |    36637 |
|       8 |       2 |       2 |    17096 |    28962 |
|       8 |       4 |       2 |    22307 |    23751 |
|       8 |       8 |       2 |    28077 |    17981 |
|      16 |       1 |       2 |    12333 |    33725 |
|      16 |       2 |       2 |    19846 |    26212 |
|      16 |       4 |       2 |    26952 |    19106 |
|      16 |       8 |       2 |    32305 |    13753 |
|      32 |       1 |       2 |    15382 |    30676 |
|      32 |       2 |       2 |    24686 |    21372 |
|      32 |       4 |       2 |    31072 |    14986 |
|      32 |       8 |       2 |    35929 |    10129 |
|      64 |       1 |       2 |    19974 |    26084 |
|      64 |       2 |       2 |    29043 |    17015 |
|      64 |       4 |       2 |    34312 |    11746 |
|      64 |       8 |       2 |    38423 |     7635 |
|     128 |       1 |       2 |    24502 |    21556 |
|     128 |       2 |       2 |    32670 |    13388 |
|     128 |       4 |       2 |    36802 |     9256 |
|     128 |       8 |       2 |    40207 |     5851 |
|     256 |       1 |       2 |    29099 |    16959 |
|     256 |       2 |       2 |    35644 |    10414 |
|     256 |       4 |       2 |    38584 |     7474 |
|     256 |       8 |       2 |    42580 |     3478 |
|     512 |       1 |       2 |    32661 |    13397 |
|     512 |       2 |       2 |    37075 |     8983 |
|     512 |       4 |       2 |    41601 |     4457 |
|     512 |       8 |       2 |    43316 |     2742 |
|    1024 |       1 |       2 |    34170 |    11888 |
|    1024 |       2 |       2 |    39877 |     6181 |
|    1024 |       4 |       2 |    42134 |     3924 |
|    1024 |       8 |       2 |    43769 |     2289 |
|       8 |       1 |       4 |     6974 |    39084 |
|       8 |       2 |       4 |    13070 |    32988 |
|       8 |       4 |       4 |    18203 |    27855 |
|       8 |       8 |       4 |    22587 |    23471 |
|      16 |       1 |       4 |     9421 |    36637 |
|      16 |       2 |       4 |    17096 |    28962 |
|      16 |       4 |       4 |    22307 |    23751 |
|      16 |       8 |       4 |    28077 |    17981 |
|      32 |       1 |       4 |    12333 |    33725 |
|      32 |       2 |       4 |    19846 |    26212 |
|      32 |       4 |       4 |    26952 |    19106 |
|      32 |       8 |       4 |    32305 |    13753 |
|      64 |       1 |       4 |    15382 |    30676 |
|      64 |       2 |       4 |    24686 |    21372 |
|      64 |       4 |       4 |    31072 |    14986 |
|      64 |       8 |       4 |    35929 |    10129 |
|     128 |       1 |       4 |    19974 |    26084 |
|     128 |       2 |       4 |    29043 |    17015 |
|     128 |       4 |       4 |    34312 |    11746 |
|     128 |       8 |       4 |    38423 |     7635 |
|     256 |       1 |       4 |    24502 |    21556 |
|     256 |       2 |       4 |    32670 |    13388 |
|     256 |       4 |       4 |    36802 |     9256 |
|     256 |       8 |       4 |    40207 |     5851 |
|     512 |       1 |       4 |    29099 |    16959 |
|     512 |       2 |       4 |    35644 |    10414 |
|     512 |       4 |       4 |    38584 |     7474 |
|     512 |       8 |       4 |    42580 |     3478 |
|    1024 |       1 |       4 |    32661 |    13397 |
|    1024 |       2 |       4 |    37075 |     8983 |
|    1024 |       4 |       4 |    41601 |     4457 |
|    1024 |       8 |       4 |    43316 |     2742 |
|    2048 |       1 |       4 |    34170 |    11888 |
|    2048 |       2 |       4 |    39877 |     6181 |
|    2048 |       4 |       4 |    42134 |     3924 |
|    2048 |       8 |       4 |    43769 |     2289 |
|      16 |       1 |       8 |     6974 |    39084 |
|      16 |       2 |       8 |    13070 |    32988 |
|      16 |       4 |       8 |    18203 |    27855 |
|      16 |       8 |       8 |    22587 |    23471 |
|      32 |       1 |       8 |     9421 |    36637 |
|      32 |       2 |       8 |    17096 |    28962 |
|      32 |       4 |       8 |    22307 |    23751 |
|      32 |       8 |       8 |    28077 |    17981 |
|      64 |       1 |       8 |    12333 |    33725 |
|      64 |       2 |       8 |    19846 |    26212 |
|      64 |       4 |       8 |    26952 |    19106 |
|      64 |       8 |       8 |    32305 |    13753 |
|     128 |       1 |       8 |    15382 |    30676 |
|     128 |       2 |       8 |    24686 |    21372 |
|     128 |       4 |       8 |    31072 |    14986 |
|     128 |       8 |       8 |    35929 |    10129 |
|     256 |       1 |       8 |    19974 |    26084 |
|     256 |       2 |       8 |    29043 |    17015 |
|     256 |       4 |       8 |    34312 |    11746 |
|     256 |       8 |       8 |    38423 |     7635 |
|     512 |       1 |       8 |    24502 |    21556 |
|     512 |       2 |       8 |    32670 |    13388 |
|     512 |       4 |       8 |    36802 |     9256 |
|     512 |       8 |       8 |    40207 |     5851 |
|    1024 |       1 |       8 |    29099 |    16959 |
|    1024 |       2 |       8 |    35644 |    10414 |
|    1024 |       4 |       8 |    38584 |     7474 |
|    1024 |       8 |       8 |    42580 |     3478 |
|    2048 |       1 |       8 |    32661 |    13397 |
|    2048 |       2 |       8 |    37075 |     8983 |
|    2048 |       4 |       8 |    41601 |     4457 |
|    2048 |       8 |       8 |    43316 |     2742 |
|    4096 |       1 |       8 |    34170 |    11888 |
|    4096 |       2 |       8 |    39877 |     6181 |
|    4096 |       4 |       8 |    42134 |     3924 |
|    4096 |       8 |       8 |    43769 |     2289 |
\---------------------------------------------------/
